Rep,Treat,Treat_Lev,Form,sample_name,raw_measurement,conversion_factor,converted,in_mm
1,hi,4,mol,mol_hi_rep1_1,805.56,22.7,35.48722467,3.548722467
1,hi,4,mol,mol_hi_rep1_2,779.63,22.5,34.65022222,3.465022222
1,hi,4,mol,mol_hi_rep1_3,820.27,22.4,36.61919643,3.661919643
1,low,2,mol,mol_low_rep1_1,1066.12,33.6,31.7297619,3.17297619
1,low,2,mol,mol_low_rep1_2,752.73,25.3,29.75217391,2.975217391
1,low,2,mol,mol_low_rep1_3,818.38,25.1,32.60478088,3.260478088
1,med,3,mol,mol_med_rep1_1,760.02,22.5,33.77866667,3.377866667
1,med,3,mol,mol_med_rep1_2,758.45,22.6,33.55973451,3.355973451
1,med,3,mol,mol_med_rep1_3,753.06,22.6,33.32123894,3.332123894
1,xlow,1,mol,mol_xlow_rep1_1,610.33,21.5,28.38744186,2.838744186
1,xlow,1,mol,mol_xlow_rep1_2,667.09,23.2,28.75387931,2.875387931
1,xlow,1,mol,mol_xlow_rep1_3,673.54,23.2,29.03189655,2.903189655
1,hi,4,pip,pip_hi_rep1_1,867.15,22.5,38.54,3.854
1,hi,4,pip,pip_hi_rep1_2,859.03,22.4,38.34955357,3.834955357
1,hi,4,pip,pip_hi_rep1_3,849.04,22.4,37.90357143,3.790357143
1,low,2,pip,pip_low_rep1_1,876.3,27.2,32.21691176,3.221691176
1,low,2,pip,pip_low_rep1_2,999.72,27.2,36.75441176,3.675441176
1,low,2,pip,pip_low_rep1_3,917.9,27.2,33.74632353,3.374632353
1,med,3,pip,pip_med_rep1_1,860.19,22.7,37.8938326,3.78938326
1,med,3,pip,pip_med_rep1_2,836.15,22.5,37.16222222,3.716222222
1,med,3,pip,pip_med_rep1_3,823.24,22.6,36.42654867,3.642654867
1,xlow,1,pip,pip_xlow_rep1_1,1027.42,32.2,31.90745342,3.190745342
1,xlow,1,pip,pip_xlow_rep1_2,985.71,33.4,29.51227545,2.951227545
1,xlow,1,pip,pip_xlow_rep1_3,1130.35,36,31.39861111,3.139861111
3,hi,4,mol,mol_hi_rep3_1,686.09,22.4,30.62901786,3.062901786
3,hi,4,mol,mol_hi_rep3_2,798.16,22.4,35.63214286,3.563214286
3,hi,4,mol,mol_hi_rep3_3,810.12,22.4,36.16607143,3.616607143
3,low,2,mol,mol_low_rep3_1,712.07,22.4,31.78883929,3.178883929
3,low,2,mol,mol_low_rep3_2,667.79,22.4,29.81205357,2.981205357
3,low,2,mol,mol_low_rep3_3,686.05,22.4,30.62723214,3.062723214
3,med,3,mol,mol_med_rep_3_2,692.23,22.4,30.903125,3.0903125
3,med,3,mol,mol_med_rep3_1,704.48,22.4,31.45,3.145
3,med,3,mol,mol_med_rep3_3,692.42,22.4,30.91160714,3.091160714
3,xlow,1,mol,mol_xlow_rep3_1,617.05,22.4,27.546875,2.7546875
3,xlow,1,mol,mol_xlow_rep3_2,636.31,22.4,28.40669643,2.840669643
3,xlow,1,mol,mol_xlow_rep3_3,627.2,22.4,28,2.8
3,hi,4,pip,pip_hi_rep3_1,765.51,22.4,34.17455357,3.417455357
3,hi,4,pip,pip_hi_rep3_2,846.05,22.4,37.77008929,3.777008929
3,hi,4,pip,pip_hi_rep3_3,777.7,22.4,34.71875,3.471875
3,low,2,pip,pip_low_rep3_1,699.41,22.4,31.22366071,3.122366071
3,low,2,pip,pip_low_rep3_2,718,22.4,32.05357143,3.205357143
3,low,2,pip,pip_low_rep3_3,726.18,22.4,32.41875,3.241875
3,med,3,pip,pip_med_rep3_1,801.28,22.4,35.77142857,3.577142857
3,med,3,pip,pip_med_rep3_2,808.99,22.4,36.115625,3.6115625
3,med,3,pip,pip_med_rep3_3,754.27,22.4,33.67276786,3.367276786
3,xlow,1,pip,pip_xlow_rep3_1,700.83,22.4,31.28705357,3.128705357
3,xlow,1,pip,pip_xlow_rep3_2,746,22.4,33.30357143,3.330357143
3,xlow,1,pip,pip_xlow_rep3_3,744.1,22.4,33.21875,3.321875
4,hi,4,mol,mol_hi_Rep4_1,770.58,21.5,35.84093023,3.584093023
4,hi,4,mol,mol_hi_Rep4_2,722.02,21.5,33.58232558,3.358232558
4,hi,4,mol,mol_hi_Rep4_3,786.57,21.5,36.58465116,3.658465116
4,low,2,mol,mol_low_Rep4_1,662.87,21.5,30.83116279,3.083116279
4,low,2,mol,mol_low_Rep4_2,660.59,21.5,30.72511628,3.072511628
4,low,2,mol,mol_low_Rep4_3,642,21.5,29.86046512,2.986046512
4,med,3,mol,mol_med_Rep4_1,690.35,21.5,32.10930233,3.210930233
4,med,3,mol,mol_med_Rep4_2,688.57,21.5,32.02651163,3.202651163
4,med,3,mol,mol_med_Rep4_3,704.82,21.5,32.78232558,3.278232558
4,xlow,1,mol,mol_xlow_Rep4_1,612.21,21.5,28.47488372,2.847488372
4,xlow,1,mol,mol_xlow_Rep4_2,606.12,21.5,28.19162791,2.819162791
4,xlow,1,mol,mol_xlow_Rep4_3,618.01,21.5,28.74465116,2.874465116
4,hi,4,pip,pip_hi_Rep4_1,766.09,21.5,35.63209302,3.563209302
4,hi,4,pip,pip_hi_Rep4_2,756.17,21.5,35.17069767,3.517069767
4,hi,4,pip,pip_hi_Rep4_3,792.65,21.5,36.86744186,3.686744186
4,low,2,pip,pip_low_Rep4_1,724,21.5,33.6744186,3.36744186
4,low,2,pip,pip_low_Rep4_2,738.1,21.5,34.33023256,3.433023256
4,low,2,pip,pip_low_Rep4_3,682.64,21.5,31.75069767,3.175069767
4,med,3,pip,pip_med_Rep4_1,770.34,21.5,35.82976744,3.582976744
4,med,3,pip,pip_med_Rep4_2,736.07,21.5,34.23581395,3.423581395
4,med,3,pip,pip_med_Rep4_3,714.28,21.5,33.22232558,3.322232558
4,xlow,1,pip,pip_xlow_Rep4_1,684.81,21.5,31.85162791,3.185162791
4,xlow,1,pip,pip_xlow_Rep4_2,624.87,21.5,29.06372093,2.906372093
4,xlow,1,pip,pip_xlow_Rep4_3,691.81,21.5,32.1772093,3.21772093
5,hi,4,mol,mol_hi_rep5_1,690.29,21.2,32.56084906,3.256084906
5,hi,4,mol,mol_hi_rep5_2,694.49,21.6,32.15231481,3.215231481
5,hi,4,mol,mol_hi_rep5_3,681.06,21.6,31.53055556,3.153055556
5,xlow,1,mol,mol_xlow_rep5_1,576.89,21.6,26.70787037,2.670787037
5,xlow,1,mol,mol_xlow_rep5_2,606.05,21.6,28.05787037,2.805787037
5,xlow,1,mol,mol_xlow_rep5_3,657.34,21.6,30.43240741,3.043240741
5,low,2,mol,mol_low_rep5_1,805.62,26.4,30.51590909,3.051590909
5,low,2,mol,mol_low_rep5_2,807.67,26.4,30.59356061,3.059356061
5,low,2,mol,mol_low_rep5_3,754.6,26.4,28.58333333,2.858333333
5,med,3,mol,mol_med_rep5_1,834.91,26.4,31.62537879,3.162537879
5,med,3,mol,mol_med_rep5_2,828.35,26.4,31.37689394,3.137689394
5,med,3,mol,mol_med_rep5_3,846.26,26.4,32.05530303,3.205530303
5,hi,4,pip,pip_hi_rep5_1,973.85,26.4,36.88825758,3.688825758
5,hi,4,pip,pip_hi_rep5_2,993.16,26.4,37.61969697,3.761969697
5,hi,4,pip,pip_hi_rep5_3,951.04,26.4,36.02424242,3.602424242
5,low,2,pip,pip_low_rep5_1,884.47,26.4,33.50265152,3.350265152
5,low,2,pip,pip_low_rep5_2,873.08,26.4,33.07121212,3.307121212
5,low,2,pip,pip_low_rep5_3,888.18,26.4,33.64318182,3.364318182
5,med,3,pip,pip_med_rep5_1,921.7,26.4,34.91287879,3.491287879
5,med,3,pip,pip_med_rep5_2,884.23,26.4,33.49356061,3.349356061
5,med,3,pip,pip_med_rep5_3,870.08,26.4,32.95757576,3.295757576
5,xlow,1,pip,pip_xlow_rep5_1,870.33,26.4,32.96704545,3.296704545
5,xlow,1,pip,pip_xlow_rep5_2,785.3,26.4,29.74621212,2.974621212
5,xlow,1,pip,pip_xlow_rep5_3,855.26,26.4,32.39621212,3.239621212
