Date cage set up,Number Eggs,Diet,Rep,Time,Day
3/14/19,32,low,3,E,8
3/15/19,25,low,3,E,9
3/17/19,36,low,3,L,11
3/17/19,33,low,3,L,11
3/17/19,36,low,3,L,11
3/17/19,22,low,3,L,11
3/17/19,31,low,3,L,11
3/17/19,44,low,3,L,11
3/17/19,32,low,3,L,11
3/17/19,33,low,3,L,11
3/17/19,36,low,3,L,11
3/17/19,20,low,3,L,11
3/17/19,37,low,3,L,11
3/19/19,13,x.low,3,E,13
3/22/19,20,x.low,3,E,16
3/22/19,16,x.low,3,E,16
3/22/19,16,x.low,3,E,16
3/22/19,17,x.low,3,E,16
3/22/19,21,x.low,3,E,16
3/22/19,20,x.low,3,E,16
3/24/19,0,x.low,3,L,18
3/24/19,10,x.low,3,L,18
3/24/19,23,x.low,3,L,18
3/24/19,13,x.low,3,L,18
5/2/19,51,low,4,E,8
5/2/19,24,low,4,E,8
5/2/19,32,low,4,E,8
5/2/19,28,low,4,E,8
5/2/19,31,low,4,E,8
5/2/19,40,low,4,E,8
5/2/19,32,low,4,E,8
5/3/19,28,low,4,E,9
5/3/19,22,low,4,E,9
5/3/19,33,low,4,E,9
5/3/19,32,low,4,E,9
5/3/19,29,low,4,E,9
5/3/19,23,low,4,E,9
5/3/19,30,low,4,E,9
5/5/19,34,low,4,L,11
5/5/19,35,low,4,L,11
5/5/19,0,low,4,L,11
5/5/19,39,low,4,L,11
5/5/19,25,low,4,L,11
5/5/19,32,low,4,L,11
5/5/19,30,low,4,L,11
5/8/19,39,low,4,L,14
5/5/19,18,x.low,4,E,11
5/8/19,20,x.low,4,E,14
5/8/19,12,x.low,4,E,14
5/8/19,29,x.low,4,E,14
5/10/19,24,x.low,4,E,16
5/10/19,16,x.low,4,E,16
5/10/19,16,x.low,4,E,16
5/10/19,22,x.low,4,E,16
5/10/19,17,x.low,4,E,16
5/12/19,13,x.low,4,L,18
5/12/19,25,x.low,4,L,18
5/12/19,15,x.low,4,L,18
5/12/19,19,x.low,4,L,18
5/12/19,40,x.low,4,L,18
5/12/19,10,x.low,4,L,18
5/12/19,12,x.low,4,L,18
5/14/19,0,x.low,4,L,20
10/31/19,19,low,5,E,8
10/31/19,27,low,5,E,8
10/31/19,18,low,5,E,8
11/2/19,19,low,5,L,10
11/2/19,24,low,5,L,10
11/2/19,17,low,5,L,10
11/2/19,0,low,5,L,10
11/2/19,23,low,5,L,10
11/2/19,33,low,5,L,10
11/2/19,32,low,5,L,10
11/2/19,7,low,5,L,10
11/2/19,14,low,5,L,10
11/2/19,30,low,5,L,10
11/2/19,30,low,5,L,10
11/2/19,35,low,5,L,10
11/2/19,20,low,5,L,10
11/2/19,26,low,5,L,10
11/4/19,31,low,5,L,12
11/4/19,23,x.low,5,E,12
11/4/19,14,x.low,5,E,12
11/5/19,5,x.low,5,E,13
11/5/19,0,x.low,5,E,13
11/5/19,18,x.low,5,E,13
11/5/19,0,x.low,5,E,13
11/5/19,0,x.low,5,E,13
11/5/19,0,x.low,5,E,13
11/5/19,0,x.low,5,E,13
11/7/19,15,x.low,5,L,15
11/7/19,30,x.low,5,L,15
11/7/19,20,x.low,5,L,15
11/7/19,0,x.low,5,L,15
11/7/19,15,x.low,5,L,15